country,Movie,TV Show
"United States, Hungary, Ireland, Canada",0,1
"United States, Iceland",1,0
"United States, India",6,0
"United States, India, Bangladesh",1,0
"United States, India, Malaysia, Taiwan, Canada, United Kingdom",1,0
"United States, India, South Korea, China",1,0
"United States, India, United Arab Emirates",1,0
"United States, Indonesia",1,0
"United States, Ireland",1,1
"United States, Ireland, United Kingdom",0,1
"United States, Israel, Italy, South Africa",0,1
"United States, Israel, United Kingdom, Canada",1,0
"United States, Italy",3,1
"United States, Italy, United Kingdom, Liechtenstein",1,0
"United States, Japan",4,10
"United States, Japan, Canada",0,2
"United States, Kazakhstan",1,0
"United States, Malta, United Kingdom",1,0
"United States, Mexico",6,3
"United States, Mexico, Colombia",0,1
"United States, Mexico, Spain, Malta",0,1
"United States, Morocco",1,0
"United States, Netherlands, Japan, France",0,1
"United States, New Zealand",0,3
"United States, New Zealand, Japan",0,1
"United States, New Zealand, United Kingdom",1,0
"United States, Nicaragua",1,0
"United States, Russia",0,1
"United States, Senegal",1,0
"United States, South Africa",3,0
"United States, South Korea",1,0
"United States, South Korea, China",0,2
"United States, South Korea, Japan",1,0
"United States, Spain",3,0
"United States, Spain, Chile, Peru",1,0
"United States, Spain, Colombia, Mexico",0,1
"United States, Spain, Germany",1,0
"United States, Spain, Italy",1,0
"United States, Sweden",2,1
"United States, Taiwan",1,0
"United States, United Arab Emirates",3,0
"United States, United Kingdom",25,7
"United States, United Kingdom, Australia",3,1
"United States, United Kingdom, Canada",1,1
"United States, United Kingdom, Canada, Japan",1,0
"United States, United Kingdom, Denmark, Sweden",1,0
"United States, United Kingdom, France",3,0
"United States, United Kingdom, France, Germany, Japan",1,0
"United States, United Kingdom, Germany",2,0
"United States, United Kingdom, Italy",1,0
"United States, United Kingdom, Morocco",1,0
"United States, United Kingdom, Spain, South Korea",1,0
"United States, Uruguay",1,0
"United States, Venezuela",1,0
Uruguay,2,0
"Uruguay, Argentina, Spain",1,0
"Uruguay, Spain, Mexico",1,0
Venezuela,1,0
"Venezuela, Colombia",1,0
Vietnam,4,0
West Germany,1,0
